Identifier,Type,Unit,Factors
,,,
1,length,Picometer,
1,length,Nanometer,
1,length,Micrometer,
1,length,Millimeter,
1,length,Centimeter,
1,length,Meter,
1,length,Kilometer,
1,length,Inch,
1,length,Foot,
1,length,Yard,
1,length,Miles,
1,length,Nautical miles,
,,,
3,temperature,Celsius,
3,temperature,Fahrenheit,
3,temperature,Kelvin,
,,,
4,time,Femtoseconds,
4,time,Picoseconds,
4,time,Nanoseconds,
4,time,Microseconds,
4,time,Milliseconds,
4,time,Seconds,
4,time,Minutes,
4,time,Hours,
4,time,Days,
4,time,Weeks,
4,time,Years,
,,,
5,speed,Centimeters per sec,
5,speed,Meters per sec,
5,speed,Meters per hour,
5,speed,Kilometers per sec,
5,speed,Kilometers per hour,
5,speed,Feet per sec,
5,speed,Miles per hour,
5,speed,Knots,
5,speed,Mach,
,,,
6,data,Bit,1
6,data,Nibble,4
6,data,Bytes,8
6,data,Kilobits,1000
6,data,Kilobyte,8000
6,data,Megabit,1000000
6,data,Megabyte,8000000
6,data,Gigabit,1000000000
6,data,Gigabyte,8000000000
6,data,Terabyte,8000000000000
6,data,Petabyte,8E+15
6,data,Exabytes,8E+18
6,data,Zetabytes,8E+21
6,data,Yottabytes,8E+24
,,,
7,Weight,Carat,
7,Weight,Picogram,
7,Weight,Nanogram,
7,Weight,Microgram,
7,Weight,Milligram,
7,Weight,Centigram,
7,Weight,Decigram,
7,Weight,Gram,
7,Weight,Decagram,
7,Weight,Hectogram,
7,Weight,Kilogram,
7,Weight,Metric tons,
7,Weight,Ounce,
7,Weight,Pound,
7,Weight,Stone,
7,Weight,Tons,
,,,
8,Volume,Milliliter,
8,Volume,Liter,
8,Volume,Cubic millimeter,
8,Volume,Cubic centimeter,
8,Volume,Cubic meter,
8,Volume,Cubic kilometer,
8,Volume,Pint,
8,Volume,Quart,
8,Volume,Gallonen,
8,Volume,Cubic inch,
8,Volume,Cubic foot,
8,Volume,Cubic yard,
,,,
9,Area,Square millimeter,
9,Area,Square centimeter,
9,Area,Square meter,
9,Area,Hectare,
9,Area,Square kilometer,
9,Area,Square inch,
9,Area,Square foot,
9,Area,Square yard,
9,Area,Square mile,
,,,
10,Energy,Electronvolt,
10,Energy,Joule,
10,Energy,Kilojoule,
10,Energy,Calories (thermochemical),
10,Energy,Calories (Food),
10,Energy,Foot-Pounds,
10,Energy,Kilowatt-hours,
10,Energy,Megawatt-hours,
